# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
38 7.5 0.863931 19.6782
39 7.7 1.15742 21.8912
40 7.9 1.3457 24.5995
41 8.1 1.50763 27.7894
42 8.3 1.42127 30.9468
43 8.5 1.38399 34.1713
44 8.7 1.27936 37.294
45 8.9 1.23248 40.4421
46 9.1 1.11302 43.4144
47 9.3 0.957772 46.0856
48 9.5 0.948095 48.8449
49 9.7 0.894144 51.5579
50 9.9 0.84227 54.2199
1700 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0609798 0.0300926
21 4.1 0.971961 0.560185
22 4.3 2.58154 2.1088
23 4.5 3.20988 4.21759
24 4.7 2.88441 6.28472
25 4.9 2.21694 8.01157
26 5.1 1.58288 9.34722
27 5.3 1.05671 10.3102
28 5.5 0.839738 11.1343
29 5.7 0.57321 11.7384
30 5.9 0.477615 12.2778
31 6.1 0.435306 12.8032
32 6.3 0.478224 13.419
33 6.5 0.499917 14.1042
34 6.7 0.562715 14.9236
35 6.9 0.581528 15.8218
36 7.1 0.668134 16.9144
37 7.3 0.772628 18.25
38 7.5 0.881665 19.8588
39 7.7 1.11328 22
40 7.9 1.40979 24.8542
41 8.1 1.44762 27.9352
42 8.3 1.49367 31.2731
43 8.5 1.34322 34.4213
44 8.7 1.28878 37.5856
45 8.9 1.21529 40.7083
46 9.1 1.11421 43.7014
47 9.3 0.967793 46.4167
48 9.5 0.921149 49.1134
49 9.7 0.894174 51.8426
50 9.9 0.843123 54.5231
1800 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0978613 0.0486111
21 4.1 0.999334 0.597222
22 4.3 2.57614 2.15278
23 4.5 3.30089 4.33565
24 4.7 2.93613 6.4537
25 4.9 2.09615 8.09722
26 5.1 1.48531 9.3588
27 5.3 1.10532 10.3727
28 5.5 0.834243 11.1968
29 5.7 0.552004 11.7824
